airport_ident,length_ft,surface,lighted,closed
05IA,2450,TURF-P,0,0
05ID,2000,TURF-GRVL,0,0
05IL,3200,TURF,0,0
05IN,2000,TURF,0,0
05IS,2000,TURF,0,0
05KS,2350,TURF,0,0
05KT,600,Turf,0,0
05KY,1270,TURF,0,0
05LA,2200,TURF,0,0
05LL,120,ASPH,0,0
05LS,2300,TURF,0,0
05MA,100,ASPH,0,0
05MD,2700,TURF,0,0
05ME,900,TURF,0,0
05MS,40,CONC,1,0
05NE,3210,TURF,0,0
05NH,100,TURF,0,0
05NJ,60,CONC,1,0
05NR,1235,Turf,0,0
05NY,75,ASPH-CONC-G,0,0
05OG,50,ASP,1,0
05OI,2000,TURF,0,0
05OR,2600,TURF,0,0
05OR,75,TURF,0,0
05PA,70,ASPH,0,0
05PN,120,ASPH,0,0
05PS,2319,TURF,0,0
05S,2940,TURF-G,0,0
05TA,1700,TURF-G,0,0
05TE,1500,TURF,0,0
05TS,1700,TURF,0,0
05TX,2075,TURF,0,0
05V,6160,DIRT-G,0,0
05VA,2000,TURF,0,0
05VT,80,CONC,0,0
05WA,40,CONC,0,0
05WI,1800,TURF,0,0
05WN,1700,TURF-GRVL,0,0
05XS,2600,TURF,0,0
05Y,3280,TURF-G,1,0
06AK,2000,GRVL,0,0
06AL,1600,ASPH,0,0
06AL,1600,ASPH,0,0
06AL,1600,ASPH,0,0
06AL,1600,ASPH,0,0
06AL,1600,ASPH,0,0
06AL,1600,ASPH,0,0
06AL,1600,TURF,0,0
06AR,2900,TURF,1,0
06AZ,80,CONC,1,0
06B,15000,WATER-E,0,0
06CA,20,CONC,0,0
06CL,46,CONC,1,0
06CO,4500,TURF,0,0
06FA,7003,ASPH,1,0
06FD,3400,TURF,0,0
06FL,200,TURF,0,0
06GA,300,TURF,0,0
06I,16000,WATER,0,0
06IA,1750,TURF,0,0
06ID,2200,GRVL-DIRT,0,0
06IL,2580,TURF,0,0
06IS,2600,TURF,0,0
06KS,25,TURF,0,0
06LA,39,CONC,0,0
06LS,40,CONC,0,0
06MA,15,ASPH,0,0
06MD,60,CONC,1,0
06MI,45,CONC,0,0
06MI,45,ASPH,0,0
06MO,3000,ASPH,1,0
06MT,2200,TURF,0,0
06N,2811,ASPH-G,1,0
06NC,2600,TURF,0,0
06ND,2800,TURF,0,0
06NE,130,CONC,0,0
