Locid,Airport Name,CY 23 Enplanements
ORS,Orcas Island,"8,089"
TCM,McChord Field (Joint Base Lewis-McChord),"5,098"
W39,Roche Harbor,"4,132"
W33,Friday Harbor,"4,080"
RNT,Renton Municipal,"1,855"
W49,Rosario,"1,721"
SKA,Fairchild AFB,"1,382"
S31,Lopez Island,786
WA83,Westsound/Wsx,722
NUW,Whidbey Island NAS (Ault Field),714
MWH,Grant County International,404
CLM,William R Fairchild International,321
0S9,Jefferson County International,48
W28,Sequim Valley,47
TIW,Tacoma Narrows,46
74S,Anacortes,37
OLM,Olympia Regional,32
SHN,Sanderson Field,32
38WA,Blakely Island,29
VUO,Pearson Field,28
BVS,Skagit Regional,23
WA09,Roche Harbor,20
SFF,Felts Field,16
83Q,Port of Poulsbo Marina Moorage,10
DEW,Deer Park,8
S52,Methow Valley State,8
PWT,Bremerton Ntl,7
S43,Harvey Field,6
WA18,Decatur /Jones/,6
S10,Lake Chelan,4
AWO,Arlington Municipal,3
S18,Forks,3
OKH,Delaurentis,2
11S,Sekiu,1
OMK,Omak,1
MKE,General Mitchell International,"2,959,840"
MSN,Dane County Regional/Truax Field,"1,037,983"
ATW,Appleton International,"474,885"
GRB,Green Bay/Austin Straubel International,"330,492"
CWA,Central Wisconsin,"84,775"
LSE,La Crosse Regional,"43,681"
EAU,Chippewa Valley Regional,"25,856"
RHI,Rhinelander/Oneida County,"20,991"
VOK,Volk Field,"1,048"
SBM,Sheboygan County Memorial International,55
UES,Waukesha County,48
ENW,Kenosha Regional,28
ARV,Lakeland/Noble F Lee Memorial Field,27
3CU,Cable Union,20
ISW,Alexander Field South Wood County,16
FLD,Fond du Lac County,15
HYR,Sawyer County,13
UNU,Dodge County,10
OSH,Wittman Regional,8
JVL,Southern Wisconsin Regional,7
C02,Grand Geneva Resort,5
EFT,Monroe Municipal,5
AUW,Wausau Downtown,3
RAC,Batten International,3
SUE,Door County Cherryland,3
C29,Middleton Municipal/Morey Field,2
MFI,Marshfield Municipal,2
SUW,Richard I Bong,2
ASX,John F Kennedy Memorial,1
BUU,Burlington Municipal,1
ETB,West Bend Municipal,1
MWC,Lawrence J Timmerman,1
AWK,Wake Island Airfield,776
CRW,West Virginia International Yeager,"194,898"
HTS,Tri-State/Milton J Ferguson Field,"88,888"
CKB,North Central West Virginia,"42,736"
LWB,Greenbrier Valley,"8,328"
MGW,Morgantown Municipal/Walter L Bill Hart Field,"6,842"
BKW,Raleigh County Memorial,"4,882"
PKB,Mid-Ohio Valley Regional,"4,391"
HLG,Wheeling Ohio County,10
EKN,Elkins/Randolph County (Jennings Randolph Field),3
MRB,Eastern WV Regional/Shepherd Field,3
JAC,Jackson Hole,"494,863"
CPR,Casper/Natrona County International,"87,181"
COD,Yellowstone Regional,"34,711"
GCC,Northeast Wyoming Regional,"26,784"
SHR,Sheridan County,"26,641"
LAR,Laramie Regional,"18,094"
RKS,Southwest Wyoming Regional,"16,158"
RIW,Central Wyoming Regional,"15,350"
CYS,Cheyenne Regional/Jerry Olson Field,"13,132"
SAA,Shively Field,36
W43,Hulett Municipal,6
WY11,A Bar A Ranch,6
PNA,Ralph Wenz Field,4
HSG,Hot Springs County,1
POY,Powell Municipal,1
RWL,Rawlins Municipal/Harvey Field,1
