Locid,Airport Name,CY 23 Enplanements
NTD,Point Mugu NAS,"1,242"
SUU,Travis AFB,"1,113"
NKX,Miramar MCAS (Joe Foss Field),971
NZY,North Island NAS (Halsey Field),849
MCC,McClellan Airfield,563
NUQ,Moffett Federal Airfield,491
APC,Napa County,470
SLI,Los Alamitos AAF,225
SDM,Brown Field Municipal,203
SMO,Santa Monica Municipal,175
TRM,Jacqueline Cochran Regional,174
CMA,Camarillo,130
F70,French Valley,115
MHR,Sacramento Mather,115
MYF,Montgomery-Gibbs Exec,99
UDD,Bermuda Dunes,98
DVO,Gnoss Field,94
EDW,Edwards AFB,85
PAO,Palo Alto,74
IZA,Santa Ynez/Kunkle Field,69
PRB,Paso Robles Municipal,57
SAC,Sacramento Exec,54
CXL,Calexico International,48
TVL,Lake Tahoe,47
GOO,Nevada County,44
OXR,Oxnard,44
HWD,Hayward Exec,38
SEE,Gillespie Field,34
LVK,Livermore Municipal,30
HJO,Hanford Municipal,26
VIS,Visalia Municipal,25
LHM,Lincoln Regional/Karl Harder Field,20
TOA,Zamperini Field,19
MPI,Mariposa-Yosemite,18
O22,Columbia,18
A30,Scott Valley,14
CNO,Chino,13
AUN,Auburn Municipal,12
LPC,Lompoc,11
E16,San Martin,10
PTV,Porterville Municipal,10
CN64,Desert Center,9
MHV,Mojave Air & Space Port/Rutan Field,9
MOD,Modesto City-County-Harry Sham Field,9
A26,Adin,8
CIC,Chico Regional,8
EMT,San Gabriel Valley,8
FUL,Fullerton Municipal,8
C83,Byron,6
CCB,Cable,6
FCH,Fresno Chandler Exec,6
MER,Castle,6
O41,Watts-Woodland,6
RBL,Red Bluff Municipal,5
WVI,Watsonville Municipal,5
E45,Pine Mountain Lake,4
LLR,Little River,4
MYV,Yuba County,4
O89,Fall River Mills,4
TNP,Twentynine Palms,4
RIU,Rancho Murieta,3
WJF,General Wm J Fox Airfield,3
DWA,Yolo County,2
L22,Yucca Valley,2
TLR,Mefford Field,2
1O5,Montague-Yreka Rohrer Field,1
HAF,Half Moon Bay,1
O85,Benton Field,1
RNM,Ramona,1
SNS,Salinas Municipal,1
SZP,Santa Paula,1
DEN,Denver International,"37,863,967"
COS,City of Colorado Springs Municipal,"1,192,123"
ASE,Aspen-Pitkin County/Sardy Field,"309,411"
MTJ,Montrose Regional,"244,266"
GJT,Grand Junction Regional,"243,808"
EGE,Eagle County Regional,"226,950"
DRO,Durango-La Plata County,"217,357"
HDN,Yampa Valley,"206,236"
GUC,Gunnison-Crested Butte Regional,"49,588"
ALS,San Luis Valley Regional/Bergman Field,"11,319"
TEX,Telluride Regional,"10,826"
BJC,Rocky Mountain Metro,"37,131"
CEZ,Cortez Municipal,"9,045"
PUB,Pueblo Memorial,"3,359"
FNL,Northern Colorado Regional,"3,112"
APA,Centennial,675
RIL,Rifle Garfield County,583
AKO,Colorado Plains Regional,9
