Madison,MT,546777000,4.36
Real,TX,80492000,1.66
Iron,MO,357416000,-0.14
Billings,ND,134560000,6.65
Iron,MI,327128000,-0.33
Richmond (Independent City),VA,27367900000,0.95
Herkimer,NY,1715790000,-0.32
Milwaukee,WI,61455546000,0.59
LaSalle,IL,5896416000,0.55
Yakima,WA,10394964000,1.69
Hardy,WV,766892000,2.45
James City + Williamsburg,VA,6084098000,2.08
Madison,KY,3358458000,2.18
Live Oak,TX,1925832000,5.58
Clermont,OH,7790678000,1.17
Bullock,AL,267926000,0.24
Madison,LA,345978000,0.13
Augusta,Staunton + Waynesboro,5337071000,0.43
Loup,NE,36037000,7.2
Barrow,GA,2772259000,3.64
Allegany,MD,2686150000,-0.38
Gregory,SD,187122000,1.06
Frederick + Winchester,VA,7453213000,1.94
Stephens,OK,2416745000,3.13
Benson,ND,277630000,2.78
Limestone,TX,1466241000,0.58
Nueces,TX,20228929000,0.99
Oneida,WI,1802995000,0.77
Chickasaw,IA,806330000,3.32
Greer,OK,105825000,-1.0
Briscoe,TX,110849000,2.85
Carson,TX,1001397000,0.8
Yazoo,MS,763175000,0.37
McDuffie,GA,705983000,0.57
Noxubee,MS,251454000,-0.53
Orange,VA,1136757000,2.36
Cattaraugus,NY,2824181000,0.02
McCulloch,TX,366199000,1.98
Kit Carson,CO,551067000,2.21
Marshall,WV,2821698000,2.54
Orange,VT,844815000,0.6
Cameron,LA,733161000,-3.43
Henry,KY,343437000,0.81
Bonner,ID,1889687000,2.4
Adams,WA,725966000,1.89
Columbia,WA,348996000,1.61
Hughes,SD,1241140000,1.47
Adams,WI,607796000,0.8
Columbia,WI,2920752000,1.42
Elbert,GA,669673000,0.18
Marion,IA,2189021000,1.88
Presque Isle,MI,377642000,0.15
Allegany,NY,1431876000,0.44
Baylor,TX,173861000,2.39
Elkhart,IN,18282076000,3.52
Grant,AR,457951000,1.94
Hardin,OH,1006758000,0.72
Monongalia,WV,7392502000,2.48
Finney,KS,2310012000,1.78
Pulaski,AR,31618885000,1.37
Marion,FL,12616744000,2.54
Maury,TN,5380793000,2.62
Henry,OH,1243105000,-1.54
Buncombe,NC,16035112000,2.4
Teton,WY,3695069000,3.52
Kingfisher,OK,2945349000,8.58
Marion,GA,109737000,-2.84
Chowan,NC,565377000,0.47
Marlboro,SC,700936000,0.29
Autauga,AL,1945909000,2.76
Fremont,IA,328808000,0.84
Fremont,ID,436888000,2.41
Montrose,CO,1810292000,1.68
Elbert,CO,746846000,2.83
Davis,IA,291449000,2.0
Hall,GA,13196711000,2.97
Grundy,TN,241966000,1.0
Uintah,UT,2139540000,2.64
Trimble,KY,520857000,5.25
Palm Beach,FL,106719346000,2.62
Wyoming,$ thousands,40210781000,1.51
Elmore,ID,1402089000,1.91
Richmond,VA,284016000,-0.04
Eaton,MI,6091867000,2.81
Hall,NE,3988044000,2.17
Pacific,WA,794816000,1.68
Madison,VA,378854000,0.62
Piatt,IL,519338000,1.21
Bailey,TX,442887000,1.66
Hardin,KY,5739094000,1.66
Iron,UT,2363564000,3.51
Jeff Davis,GA,481741000,1.11
San Saba,TX,160287000,0.42
Madison,TX,563256000,3.84
San Augustine,TX,728045000,10.17
Bernalillo,NM,41812954000,1.54
Overton,TN,589862000,2.13
Pottawatomie,KS,1191831000,-0.22
Madison,TN,6482390000,1.29
Tyrrell,NC,107308000,-0.34
Palo Pinto,TX,1044056000,1.43
Lake of the Woods,MN,190748000,1.87
Stephens,GA,962013000,0.45
Ozark,MO,150006000,0.19
Oneida,NY,11543357000,0.93
Navajo,AZ,2934657000,0.07
Davidson,TN,87529092000,2.98
Wakulla,FL,872371000,1.68
Marion,AL,976241000,0.83
Cullman,AL,3089606000,1.56
Pender,NC,1857888000,3.81
Roseau,MN,1288795000,2.93
Bear Lake,ID,207235000,2.11
Henry,TN,1341486000,1.7
McMullen,TX,1544293000,10.05
Tate,MS,576604000,0.58
Harford,MD,13702502000,2.37
Marion,AR,637470000,3.96
Cerro Gordo,IA,2771827000,1.38
Lander,NV,725875000,1.28
Tallahatchie,MS,310903000,1.11
Russell,VA,693633000,-1.29
Tuscola,MI,1437917000,0.36
Corson,SD,87572000,0.22
Collingsworth,TX,86573000,-1.08
Kent,MD,970030000,0.51
Kent,MI,46488276000,1.7
Brown,SD,2430428000,2.02
Polk,WI,1600424000,1.15
Ocean,NJ,24123172000,1.57
Sullivan,NH,1585384000,0.53
Anderson,KS,387165000,3.74
Pickens,SC,4483099000,1.99
Union,PA,1915107000,0.97
Barber,KS,202673000,1.53
Anderson,KY,587853000,1.52
Boyle,KY,1326937000,0.14
Union,OR,1046407000,1.32
Fayette,OH,1619957000,2.54
Tioga,NY,1450217000,2.51
Sullivan,NY,3341222000,1.32
Fayette,PA,4348292000,1.49
Letcher,KY,407657000,-3.57
Outagamie,WI,12909272000,1.51
Wayne,UT,121441000,1.24
Lincoln,ID,259109000,3.35
Union,SC,683562000,0.06
Grant,WI,2298089000,1.83
Surry,VA,1144567000,0.85
Clarke,MS,292827000,-0.15
Union,SD,1807758000,0.81
Lowndes,AL,422687000,0.31
Oxford,ME,1912837000,0.52
Grant,WV,422251000,-1.54
Walker,AL,1809493000,0.03
Spencer,IN,912024000,-1.0
Dillingham Census Area,AK,258398000,0.86
Grundy,MO,303454000,0.04
Routt,CO,2282963000,0.43
Lincoln,LA,2076857000,1.01
Petroleum,MT,17007000,2.61
Leslie,KY,152009000,-4.43
Wayne,TN,367892000,1.48
Tioga,PA,1807899000,2.67
Sullivan,MO,473531000,3.11
Prince William,Manassas + Manassas Park,23734783000,3.08
Le Sueur,MN,978654000,0.91
Huntington,IN,1582554000,1.72
Pawnee,KS,285582000,0.53
Lincoln,KS,147096000,2.93
Boone,AR,1504210000,1.34
Edmonson,KY,186493000,1.47
Brown,TX,1488077000,0.94
Jennings,IN,749300000,0.81
Lincoln,KY,437831000,1.14
Polk,TX,1418490000,0.99
Elk,KS,86035000,1.37
Juniata,PA,830307000,1.39
Polk,TN,336680000,0.48
Judith Basin,MT,100511000,3.39
Edgefield,SC,678491000,1.05
Bedford,PA,1456546000,0.3
Hocking,OH,634274000,0.13
Furnas,NE,336094000,2.56
Lincoln,NV,153422000,0.42
Yates,NY,1012691000,1.45
Spencer,KY,318849000,3.02
Greeley,KS,129986000,1.08
Kenton,KY,9608875000,2.24
Clarke,GA,8249884000,1.45
Dickson,TN,2191260000,2.88
Gillespie,TX,1357895000,3.42
Brown,OH,912270000,1.07
Lincoln,NE,2457678000,1.54
Lowndes,GA,5331454000,1.45
Lincoln,NC,3316791000,2.99
Seminole,OK,843897000,1.49
Elliott,KY,84941000,1.3
Des Moines,IA,2124389000,0.4
Lincoln,NM,670461000,0.91
McClain,OK,2034730000,5.8
Lincoln,MT,634094000,1.45
Lincoln,MS,1167545000,0.73
Suffolk (Independent City),VA,4390327000,1.88
Worth,GA,308979000,-0.74
Tuscaloosa,AL,10745352000,1.68
York + Poquoson,VA,3035893000,1.25
Brown,NE,207267000,4.24
Lincoln,ME,1375392000,1.15
Kent,RI,10007195000,1.12
Fayette,KY,22149133000,1.92
Colquitt,GA,1560788000,1.4
Pendleton,KY,301659000,-0.46
Pawnee,NE,130294000,2.28
Lincoln,MO,1368075000,2.08
Grant,WA,6802642000,2.99
Lincoln,MN,437918000,3.64
Union,TN,354765000,1.45
Piute,UT,86501000,4.79
Wexford,MI,1364403000,0.69
Grant,SD,571921000,0.92
Forrest,MS,3747996000,1.08
Bedford,VA,2087786000,1.13
Sioux,NE,73906000,6.07
Bryan,GA,1386502000,4.88
Sioux,ND,123479000,0.53
Tangipahoa,LA,4756791000,2.72
Calumet,WI,1677614000,1.97
Grundy,IA,570433000,1.25
Ramsey,MN,44416566000,1.24
Clarke,IA,438218000,1.46
Ramsey,ND,666577000,2.21
Grundy,IL,4536653000,2.2
Mahoning,OH,9377665000,0.0
Buffalo,SD,83897000,0.86
Dukes,MA,1596463000,0.89
Sullivan,IN,968271000,1.64
Atlantic,NJ,15025707000,0.04
Hot Springs,WY,223532000,1.62
Kent,TX,178909000,-1.19
Lincoln,OR,2118359000,1.52
Trinity,TX,270492000,1.42
Pawnee,OK,370013000,1.67
Carter,TN,1136349000,0.8
Fayette,IA,758170000,1.33
Uinta,WY,870000000,-0.56
Bedford,TN,2038918000,2.36
Fayette,IL,578070000,0.37
Greeley,NE,133892000,2.85
Windsor,VT,2832949000,1.07
Amelia,VA,293573000,0.88
Fayette,IN,561277000,-1.55
Wayne,WV,972113000,-0.29
Walla Walla,WA,3452245000,1.33
Lincoln,OK,785807000,1.31
Walker,GA,1645262000,1.03
Allegheny,PA,105613456000,1.38
Lancaster,NE,21955532000,2.03
Wayne,OH,6804587000,1.65
Wayne,NY,3806726000,0.69
Bibb,AL,466543000,1.59
Estill,KY,234918000,0.47
Polk,OR,2343741000,1.84
Karnes,TX,6153388000,16.38
Fremont,WY,1633106000,1.01
Terry,TX,535517000,1.01
Jenkins,GA,152664000,-0.93
Hickman,KY,188438000,2.0
Chittenden,VT,13103601000,2.24
Mackinac,MI,521059000,0.6
Otoe,NE,1308857000,3.31
Wayne,NC,4989254000,0.34
Fayette,WV,1102880000,0.01
Wayne,NE,627669000,3.08
Pickett,TN,127729000,2.08
Lincoln,AR,257522000,0.12
Menominee,MI,744697000,0.15
Montgomery,AR,149922000,-0.42
Montgomery,AL,15024566000,0.97
Wayne,MO,216356000,0.34
Hampton (Independent City),VA,6964845000,0.09
Morehouse,LA,557512000,-1.27
Essex,VT,135891000,-0.87
Allendale,SC,284568000,-0.63
Wayne,MS,623060000,1.81
Osage,MO,430951000,2.29
Missaukee,MI,453918000,2.69
Polk,NE,325996000,2.34
Wayne,MI,102394962000,0.3
Polk,NC,552188000,1.11
Fayette,TN,1520895000,3.77
Burlington,NJ,31563624000,1.66
Richmond,GA,13146409000,0.99
Aransas,TX,786741000,1.69
Polk,MO,917541000,2.3
Grant,OK,302953000,5.4
Polk,MN,1265187000,1.09
Grant,OR,290653000,1.38
Fayette,TX,1671127000,-0.12
Chickasaw,MS,415484000,-0.6
Sullivan,TN,9106690000,1.11
New Hanover,NC,15850617000,2.61
Worth,IA,368459000,3.32
Wayne,KY,412747000,0.61
Lincoln,CO,422369000,4.22
Durham,NC,41632015000,3.9
Terrell,GA,237098000,-0.48
Osage,KS,317349000,1.1
Austin,TX,1701111000,2.73
Bannock,ID,3223311000,1.45
Saunders,NE,832137000,2.74
Prentiss,MS,602847000,0.03
Dakota,NE,1821446000,0.86
Tift,GA,2053957000,1.08
De Baca,NM,85891000,1.38
Sumner,TN,8643412000,3.6
Alcona,MI,222259000,0.13
Grant,MN,259855000,1.01
Pima,AZ,50781363000,1.69
Brown,WI,19426074000,1.64
Lexington,SC,14243200000,2.78
Big Horn,WY,527504000,0.03
Stephens,TX,380693000,-0.1
Calvert,MD,4437122000,2.11
Hardeman,TX,221999000,0.53
Grant,NE,30885000,3.51
Bibb,GA,8561447000,-0.09
Grant,ND,70056000,0.01
Buffalo,NE,3785265000,3.08
Simpson,KY,1047507000,2.63
Montezuma,CO,1229344000,1.48
Iberia,LA,2831501000,-0.62
Dolores,CO,93166000,6.42
Dakota,MN,27844109000,2.38
Grant,NM,1173131000,1.12
Audubon,IA,347585000,2.97
Pickens,GA,1108981000,1.85
Mahnomen,MN,180406000,0.45
Mendocino,CA,3667396000,0.66
Accomack,VA,1527485000,-1.57
Comal,TX,8808711000,5.07
Hardeman,TN,617377000,0.17
New London,CT,19691503000,1.03
Aleutians East Borough,AK,291546000,1.69
Branch,MI,1446933000,0.54
Bamberg,SC,356168000,-0.01
Meagher,MT,70393000,1.87
Donley,TX,143417000,0.99
Hooker,NE,30364000,2.04
North Slope Borough,AK,7085304000,1.96
Cleveland,AR,142124000,1.3
Lowndes,MS,3253802000,1.6
Calloway,KY,1423963000,0.66
Susquehanna,PA,2706152000,6.94
Douglas,WA,1920541000,2.29
Bryan,OK,2057724000,3.73
Foard,TX,108911000,3.46
Douglas,WI,1791319000,0.56
Montgomery,GA,146407000,-0.5
Juneau City and Borough,AK,2387533000,0.71
Stanly,NC,1959005000,0.81
Worth,MO,52039000,0.63
Rockcastle,KY,366269000,1.6
Tensas,LA,109470000,-1.22
Grant,KS,384780000,-0.43
Grant,KY,575458000,1.16
Simpson,MS,642787000,0.85
Osage,OK,1109809000,3.91
Rock,MN,654896000,2.77
Grant,LA,426166000,1.97
Sullivan,PA,343278000,4.72
Tehama,CA,2135028000,1.79
Long,GA,214188000,3.21
Alpine,CA,105610000,0.96
Wayne,PA,2034681000,1.73
Lincoln,GA,135859000,-0.11
Rock,NE,93325000,2.53
Hansford,TX,754715000,1.44
Alexander,IL,134411000,-1.56
Baldwin,AL,9435720000,3.3
Fulton,KY,222797000,-0.23
Mecosta,MI,1323440000,1.33
Hickman,TN,535683000,2.27
Mohave,AZ,6877318000,2.24
Lancaster,VA,504259000,0.69
Caldwell,MO,222603000,0.95
Independence,AR,1982731000,0.58
Polk,GA,1357462000,1.42
Caldwell,NC,2431360000,-0.26
St. James,LA,2423056000,2.71
Doddridge,WV,670493000,11.23
Hinsdale,CO,45502000,1.15
Polk,FL,32161734000,2.44
San Mateo,CA,186334708000,5.41
Garrett,MD,1312205000,1.13
Davie,NC,1411959000,2.09
Hayes,NE,87710000,4.76
Peach,GA,968450000,0.83
McHenry,ND,269230000,3.89
Big Horn,MT,873733000,2.53
Harmon,OK,107354000,1.8
Salt Lake,UT,115710942000,3.38
Allamakee,IA,533600000,0.37
Kleberg,TX,1206495000,0.16
Fulton,NY,1858160000,0.72
Union,AR,2760334000,1.01
Huron,OH,2297653000,0.0
Hopkins,TX,1889071000,2.74
Newport,RI,6803707000,1.47
Fulton,OH,2099643000,0.55
Fall River,SD,252112000,0.76
Bennington,VT,1774058000,0.53
Pike,AL,1613119000,2.77
Waushara,WI,629616000,0.96
Niagara,NY,9964309000,0.49
Ripley,IN,1078202000,-0.77
Pike,AR,274986000,0.48
Willacy,TX,566964000,0.32
Philadelphia,PA,110703184000,1.82
Fulton,PA,600788000,1.26
Brunswick,NC,5973641000,2.76
Russell,AL,1697224000,1.46
Palo Alto,IA,556422000,2.34
Archuleta,CO,568591000,1.97
Gove,KS,225172000,1.54
Providence,RI,36887913000,0.84
Alexander,NC,864265000,0.56
Benzie,MI,564663000,0.22
Rock,WI,8380111000,1.58
Walker,TX,2418498000,1.51
Raleigh,WV,3217131000,0.62
Koochiching,MN,496496000,-0.55
Sumner,KS,738340000,1.43
Clearwater,ID,376711000,0.9
Bay,MI,3628109000,-0.18
Eddy,ND,134260000,4.48
Lancaster,SC,3937432000,3.95
Scotts Bluff,NE,1762543000,1.25
Charles,MD,6092222000,1.61
Grand Traverse,MI,5782816000,1.71
Taylor,TX,7371530000,2.13
Rensselaer,NY,11376791000,3.45
Howard,AR,577760000,0.21
Eddy,NM,8060199000,4.53
Texas,MO,550422000,0.93
Clarke,VA,471665000,0.32
Hoke,NC,1233844000,1.49
Trinity,CA,402737000,0.91
Luce,MI,165173000,-0.86
Chatham,GA,21999121000,2.49
Pike,GA,369342000,2.53
Coal,OK,281850000,7.4
Lancaster,PA,30698072000,1.28
Pulaski,VA,1572576000,1.54
Union,FL,394035000,0.89
Los Alamos,NM,3085463000,1.37
Brookings,SD,2327164000,2.82
Polk,IA,48719285000,2.66
Union,GA,893996000,2.41
Bremer,IA,1205892000,1.78
Ste. Genevieve,MO,638568000,0.67
Taylor,WV,588348000,4.25
Hennepin,MN,153162816000,1.82
McHenry,IL,11819877000,0.89
Whiteside,IL,2146857000,0.84
Texas,OK,2000116000,1.7
Candler,GA,297197000,1.18
Menard,TX,52872000,0.86
Caldwell,TX,1091434000,3.53
Taylor,WI,782461000,0.62
Ripley,MO,216308000,0.34
Meeker,MN,1279906000,3.69
Kent,DE,8417117000,1.41
Angelina,TX,3512511000,1.1
Howard,NE,236808000,2.57
Brown,KS,504554000,1.47
Menard,IL,263932000,0.28
Tulsa,OK,44433905000,1.48
Lincoln,SD,6433595000,10.25
Cleveland,OK,9696907000,2.76
Anderson,SC,7846787000,1.93
Maries,MO,188998000,0.7
Sonoma,CA,31011472000,1.42
Box Butte,NE,506576000,0.13
Vigo,IN,5006205000,0.79
Shawnee,KS,11062377000,0.96
Bourbon,KY,922480000,2.74
Union,IA,820383000,2.82
Howard,MD,30108718000,3.02
Fayette,GA,6109018000,2.82
Ashe,NC,788125000,0.26
Howard,MO,227665000,0.28
Latah,ID,1626765000,1.78
Cleveland,NC,4488187000,1.51
Gaines,TX,1998582000,0.94
Larimer,CO,22016467000,3.02
New Hampshire,$ thousands,93466707000,1.77
Anderson,TN,5859999000,1.71
Sandusky,OH,2937073000,1.25
Goodhue,MN,2865729000,0.71
Russell,KY,778889000,3.34
Poinsett,AR,688099000,0.82
Sully,SD,120642000,1.98
Brown,MN,1475880000,0.95
Wake,NC,100210397000,4.21
Russell,KS,304424000,1.93
Lincoln,TN,1180554000,2.01
Cheatham,TN,1315792000,2.83
Baldwin,GA,1471197000,-0.07
Harvey,KS,1345105000,1.21
Buffalo,WI,562340000,-0.61
Howell,MO,1363953000,1.21
Manistee,MI,886312000,0.32
Josephine,OR,3094718000,2.17
Seminole,GA,297046000,0.61
Oceana,MI,655313000,0.13
Union,IL,395665000,-0.56
Union,IN,147699000,-0.06
Spartanburg,SC,17043342000,2.0
Bland,VA,201803000,0.94
Seminole,FL,26998021000,2.82
Lincoln,WA,357614000,0.57
Mariposa,CA,786148000,1.65
Lincoln,WI,1311189000,1.22
Brunswick,VA,723317000,2.58
Callaway,MO,1925497000,1.31
Onslow,NC,9506281000,2.25
Southampton + Franklin,VA,820314000,0.24
Keya Paha,NE,33771000,3.06
Talladega,AL,3201599000,1.86
Sibley,MN,460320000,1.0
Howard,IA,540575000,3.03
Huron,MI,1645881000,2.25
