KA08,SMALL,Vaiden Field,32.512402,-87.385597,North America,United States,Alabama,Marion,6377,3
KAIV,SMALL,George Downer Airport,33.106499,-88.1978,North America,United States,Alabama,Aliceville,4970,0
AL05,SMALL,Sehoy Airport,32.22010040283203,-85.46800232,North America,United States,Alabama,Hurtsboro,5000,0
AL12,SMALL,Kershaw Airport,32.35850143432617,-86.125,North America,United States,Alabama,Montgomery,4600,0
AL71,SMALL,Willow Point Airport,32.80369949,-85.98049927,North America,United States,Alabama,Our Town,4500,5
KALX,SMALL,Thomas C Russell Field,32.914699554399995,-85.96299744,North America,United States,Alabama,Alexander City,5425,25
KANB,MEDIUM,Anniston Regional Airport,33.5882,-85.8581,North America,United States,Alabama,Anniston,7000,0
KASN,SMALL,Talladega Municipal Airport,33.569900512699995,-86.05090332,North America,United States,Alabama,Talladega,6001,0
KAUO,SMALL,Auburn University Regional Airport,32.615101,-85.433998,North America,United States,Alabama,Auburn,5264,48
KBFM,MEDIUM,Mobile Downtown Airport,30.626800537100003,-88.06809998,North America,United States,Alabama,Mobile,9618,10840
K8A0,SMALL,Albertville Regional Airport/Thomas J Brumlik Field,34.229099,-86.255798,North America,United States,Alabama,Albertville,6116,0
KBHM,MEDIUM,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,North America,United States,Alabama,Birmingham,10000,1499027
KCMD,SMALL,Cullman Regional Airport-Folsom Field,34.2687,-86.858002,North America,United States,Alabama,Cullman,5500,3
K4R4,SMALL,H L Sonny Callahan Airport,30.460501,-87.876999,North America,United States,Alabama,Fairhope,6604,81
KDCU,SMALL,Pryor Field Regional Airport,34.652698516799994,-86.94539642,North America,United States,Alabama,Decatur,6107,4
KDHN,MEDIUM,Dothan Regional Airport,31.321300506591797,-85.44960022,North America,United States,Alabama,Dothan,8498,35667
KDYA,SMALL,Demopolis Municipal Airport,32.463799,-87.954102,North America,United States,Alabama,Demopolis,5000,0
KEDN,SMALL,Enterprise Municipal Airport,31.29969978,-85.89990234,North America,United States,Alabama,Enterprise,5100,0
KEKY,SMALL,Bessemer Airport,33.312901,-86.925903,North America,United States,Alabama,Bessemer,6007,12
KEUF,SMALL,Weedon Field,31.95129967,-85.12889862,North America,United States,Alabama,Eufaula,5000,3
KGAD,SMALL,Northeast Alabama Regional Airport,33.972599,-86.088996,North America,United States,Alabama,Gadsden,6802,10
KGZH,SMALL,Evergreen Regional Airport/Middleton Field,31.4158,-87.043999,North America,United States,Alabama,Evergreen,4000,0
KHAB,SMALL,Marion County Rankin Fite Airport,34.11759949,-87.99819946,North America,United States,Alabama,Hamilton,5500,0
K0J6,SMALL,Headland Municipal Airport,31.3643,-85.311798,North America,United States,Alabama,Headland,5002,0
KHSV,MEDIUM,Huntsville International Carl T Jones Field,34.637199,-86.775101,North America,United States,Alabama,Huntsville,12600,724147
KHUA,MEDIUM,Redstone Army Air Field,34.67869949,-86.68479919,North America,United States,Alabama,Redstone Arsnl Huntsville,7300,0
KJFX,SMALL,Walker County Airport Bevill Field,33.902,-87.314201,North America,United States,Alabama,Jasper,5003,0
KJKA,SMALL,Jack Edwards National Airport,30.290501,-87.671799,North America,United States,Alabama,Gulf Shores,6962,37
KM22,SMALL,Bill Pugh Field,34.444354,-87.711897,North America,United States,Alabama,Russellville,5500,0
KM95,SMALL,Richard Arthur Field,33.709158,-87.815266,North America,United States,Alabama,Fayette,4899,0
KMDQ,SMALL,Madison County Executive Airport-Tom Sharp Jr Field,34.8614006,-86.55750275,North America,United States,Alabama,Huntsville,5008,38
KMGM,MEDIUM,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,North America,United States,Alabama,Montgomery,9010,181927
KMOB,MEDIUM,Mobile Regional Airport,30.6912,-88.242798,North America,United States,Alabama,Mobile,8521,275342
KMSL,MEDIUM,Northwest Alabama Regional Airport,34.745123,-87.612981,North America,United States,Alabama,Muscle Shoals,6693,5907
KMVC,SMALL,Monroe County Aeroplex Airport,31.458,-87.350996,North America,United States,Alabama,Monroeville,6016,2
KMXF,MEDIUM,Maxwell Air Force Base,32.3829,-86.365799,North America,United States,Alabama,Montgomery,8013,106
KOZR,MEDIUM,Cairns AAF (Fort Rucker) Air Field,31.27569962,-85.71340179,North America,United States,Alabama,Fort Rucker,5000,0
KPRN,SMALL,Mac Crenshaw Memorial Airport,31.845699,-86.610703,North America,United States,Alabama,Greenville,5500,2
KSCD,SMALL,Merkel Field Sylacauga Municipal Airport,33.171799,-86.305496,North America,United States,Alabama,Sylacauga,5390,0
KSEM,SMALL,Craig Field,32.34389877,-86.9878006,North America,United States,Alabama,Selma,8002,0
KTCL,MEDIUM,Tuscaloosa National Airport,33.2206,-87.611397,North America,United States,Alabama,Tuscaloosa,6499,3370
KTOI,MEDIUM,Troy Municipal Airport at N Kenneth Campbell Field,31.860399,-86.012101,North America,United States,Alabama,Troy,5022,2
K0M0,SMALL,Billy Free Municipal Airport,33.8848,-91.5345,North America,United States,Arkansas,Dumas,5000,0
K2A2,SMALL,Holley Mountain Airpark,35.650699615478516,-92.40380096,North America,United States,Arkansas,Clinton,4795,0
K2A6,SMALL,Holly Grove Municipal Airport,34.582401,-91.165199,North America,United States,Arkansas,Holly Grove,4469,0
K32A,SMALL,Danville Municipal Airport,35.087002,-93.427498,North America,United States,Arkansas,Danville,5325,0
K42A,SMALL,Melbourne Municipal John E Miller Field,36.070999,-91.830101,North America,United States,Arkansas,Melbourne,4003,0
K4A5,SMALL,Searcy County Airport,35.896999,-92.658997,North America,United States,Arkansas,Marshall,4003,0
K4M3,SMALL,Carlisle Municipal Airport,34.808201,-91.712097,North America,United States,Arkansas,Carlisle,4500,0
